name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,Gender,occupation,political_party
Michelle Wolf,https://en.wikipedia.org/wiki/Michelle_Wolf,33,U.S.,Pennsylvania, Hershey,American,['College of William and Mary'],,F,['Stand-up Comedian'],
Christopher Jackson,https://en.wikipedia.org/wiki/Christopher_Jackson_(actor),43,U.S.,Illinois   ,Metropolis,American,['American Musical and Dramatic Academy'],,M,['Actor'],
John Hodgman,https://en.wikipedia.org/wiki/John_Hodgman,47,U.S.,Massachusetts,Brookline,American,['Yale University'],,M,"['Actor', 'author', 'humorist', 'television personality']",
Mark Hamill,https://en.wikipedia.org/wiki/Mark_Hamill,67,U.S.,California,Oakland,American,['Los Angeles City College'],,M,"['Actor', 'voice actor', 'writer']",Democratic
Matt Damon,https://en.wikipedia.org/wiki/Matt_Damon,48,U.S.,Massachusetts,Cambridge,American,,,M,"['Actor', 'filmmaker', 'producer with Pearl Street Films', 'screenwriter']",
Rahm Emanuel,https://en.wikipedia.org/wiki/Rahm_Emanuel,58,U.S.,Illinois,,American,,"['Sarah Lawrence College', 'Northwestern University']",M,['White House Chief of Staff'],Democratic
Katy Tur,https://en.wikipedia.org/wiki/Katy_Tur,35,U.S.,California,Los Angeles,American,"['University of California, Santa Barbara']",['Brentwood School'],F,"['Journalist', ' news anchor']",
Dennis Rodman,https://en.wikipedia.org/wiki/Dennis_Rodman,57,U.S.,New Jersey,Trenton,American,,,M,['Basketball Player'],
John Early,https://en.wikipedia.org/wiki/John_Early_(comedian),30,U.S.,Tennessee,Nashville,American,['New York University'],,M,"['Actor', 'comedian']",
Jodie Foster,https://en.wikipedia.org/wiki/Jodie_Foster,55,U.S.,California,Los Angeles,American,['Yale University'],,F,"['Actress', 'director', 'producer']",
David Harbour,https://en.wikipedia.org/wiki/David_Harbour,43,U.S.,New York,White Plains,American,,['Dartmouth College'],M,['Actor'],
50 Cent,https://en.wikipedia.org/wiki/50_Cent,43,U.S.,New York,New York City,American,,,M,"['Rapper', 'singer', 'songwriter', 'actor', 'businessman', 'investor', 'television producer']",
Rachel Brosnahan,https://en.wikipedia.org/wiki/Rachel_Brosnahan,27,US,Wisconsin,Milwaukee,American,['New York University'],['Highland Park High School'],F,['Actress'],
Michael Wolff,https://en.wikipedia.org/wiki/Michael_Pollan,63,U.S.,New York,Long Island,American,"['Bennington College', 'Columbia University']",,M,"['Author', 'journalist', 'professor']",
Lena Waithe,https://en.wikipedia.org/wiki/Lena_Waithe,34,U.S.,Illinois,Chicago,American,['Columbia College Chicago'],,F,"['Actress', 'producer',  'writer']",
Sarah Jessica Parker,https://en.wikipedia.org/wiki/Sarah_Jessica_Parker,53,U.S.,Ohio,Nelsonville,American,,"['Dwight Morrow High School', 'School of American Ballet', 'Professional Childrens School', 'School for Creative and Performing Arts', 'Hollywood High School']",F,"['Actress', 'producer', 'designer']",
Molly Shannon,https://en.wikipedia.org/wiki/Molly_Shannon,54,U.S.,Ohio,Shaker Heights,American,['Tisch School of the Arts'],,F,['Actress'],
Thomas Lennon,https://en.wikipedia.org/wiki/Thomas_Lennon,48,U.S.,Illinois,Oak Park,American,,,M,"['Actor', 'comedian', 'screenwriter', 'producer', 'director']",
John Lithgow,https://en.wikipedia.org/wiki/John_Lithgow,73,U.S.,New York,Rochester,American,"['Harvard College', 'London Academy of Music and Dramatic Art']",,M,"['Actor', 'musician', 'comedian', 'poet', 'author', 'singer']",
Chuck Schumer,https://en.wikipedia.org/wiki/Chuck_Schumer,67,U.S.,New York,New York City,American,,['Harvard University'],M,['Senator'],Democratic
Jon Bon Jovi,https://en.wikipedia.org/wiki/Jon_Bon_Jovi,56,U.S.,New Jersey,Perth Amboy,American,,"['St. Joseph High School', 'Sayreville War Memorial High School']",M,"['Singer', 'songwriter', 'record producer', 'philanthropist',  'actor']",
Daniel Kaluuya,https://en.wikipedia.org/wiki/Daniel_Kaluuya,29,U.K,London, ,British,,,M,"['Actor', 'writer']",
Rob Riggle,https://en.wikipedia.org/wiki/Rob_Riggle,48,U.S.,Kentucky,Louisville,American,,['University of Kansas'],M,"['Actor', 'comedian', 'U.S. Marine Officer']",
Ann Curry,https://en.wikipedia.org/wiki/Ann_Curry,61,U.S.,Guam, ,American,['University of Oregon School of Journalism'],,F,['Journalist'],
Willem Dafoe,https://en.wikipedia.org/wiki/Willem_Dafoe,63,U.S.,Wisconsin,Appleton,American,,,M,['Actor'],
Gwyneth Paltrow,https://en.wikipedia.org/wiki/Gwyneth_Paltrow,46,U.S.,California,Los Angeles,American,,,F,"['Actress', 'singer', 'writer']",
Ben McKenzie,https://en.wikipedia.org/wiki/Ben_McKenzie,40,U.S.,Texas,Austin,American,['University of Virginia'],"['Stephen F. Austin High School Austin, Texas']",M,"['Actor', 'director']",
Kyle MacLachlan,https://en.wikipedia.org/wiki/Kyle_MacLachlan,59,U.S.,Washington,Yakima,American,['University of Washington'],,M,['Actor'],
